N,T1,T2
900,450,0
901,270,0
902,310,0
903,400,0
904,450,0
905,340,0
906,540,0
907,290,0
908,330,0
909,390,0
910,300,0
911,520,0
912,330,0
913,660,0
914,400,0
915,290,0
916,470,0
917,340,0
918,250,0
919,310,0
920,450,0
921,270,0
922,250,0
923,500,0
924,240,0
925,540,0
926,420,0
927,270,0
928,300,0
929,240,0
930,270,0
931,370,0
932,290,0
933,340,0
934,390,0
935,330,0
936,400,0
937,470,0
938,300,0
939,410,0
940,350,0
941,350,0
942,280,0
943,370,0
944,560,0
945,350,0
946,240,0
947,550,0
948,290,0
949,720,0
950,590,0
951,400,0
952,350,0
953,320,0
954,390,0
955,400,0
956,380,0
957,380,0
958,300,0
959,1030,0
960,440,0
961,350,0
962,200,0
963,500,0
964,250,0
965,550,0
966,870,0
967,400,0
968,770,0
969,1600,0
970,1110,0
971,740,0
972,760,0
973,1600,0
974,1410,0
975,1520,0
976,930,0
977,1160,0
978,1100,0
979,1490,0
980,700,0
981,360,0
982,380,0
983,960,0
984,390,0
985,1830,0
986,510,0
987,1540,0
988,710,0
989,740,0
990,1140,0
991,1020,0
992,970,0
993,860,0
994,920,0
995,620,0
996,1030,0
997,870,0
998,850,0
999,980,0
1000,1080,0
