N,T1,T2
599,19950,0
600,21720,0
601,42560,0
602,46420,0
603,37610,0
604,54230,0
605,38450,0
606,25330,0
607,23370,0
608,23410,0
609,34330,0
610,42290,0
611,44820,0
612,49740,0
613,24900,0
614,58350,0
615,44120,0
616,36110,0
617,37420,0
618,31600,0
619,42380,0
620,89600,0
621,28060,0
622,48470,0
623,45500,0
624,22220,0
625,49820,0
626,55840,0
627,60560,0
628,37950,0
629,39380,0
630,25240,0
631,35140,0
632,33010,0
633,39080,0
634,32000,0
635,22360,0
636,41660,0
637,61450,0
638,34920,0
639,22800,0
640,19790,0
641,33640,0
642,23360,0
643,70980,0
644,58820,0
645,23040,0
646,29510,0
647,36120,0
648,45090,0
649,78050,0
650,38080,0
651,40310,0
652,41170,0
653,59940,0
654,24120,0
655,23520,0
656,30400,0
657,38460,0
658,43030,0
659,31990,0
660,57400,0
661,47760,0
662,30600,0
663,27470,0
664,42370,0
665,34600,0
666,36180,0
667,37650,0
668,34560,0
669,43820,0
670,24620,0
671,32880,0
672,41140,0
673,36760,0
674,27020,0
675,33160,0
676,20710,0
677,44530,0
678,50280,0
679,62190,0
680,59810,0
681,40180,0
682,41550,0
683,42370,0
684,29390,0
685,57710,0
686,32450,0
687,20280,0
688,60640,0
689,31420,0
690,40960,0
691,47480,0
692,28840,0
693,9340,0
694,31840,0
695,36270,0
696,30740,0
697,50230,0
698,26300,0
699,40920,0
700,31910,0
701,24180,0
702,23630,0
703,42900,0
704,28700,0
705,47740,0
706,30900,0
707,25060,0
708,35890,0
709,42170,0
710,46970,0
711,17700,0
712,25320,0
713,41890,0
714,44650,0
715,36060,0
716,36120,0
717,18690,0
718,48540,0
719,43900,0
720,35580,0
721,26180,0
722,35170,0
723,37620,0
724,29660,0
725,32820,0
726,19090,0
727,31610,0
728,26910,0
729,24040,0
730,44050,0
731,56040,0
732,43030,0
733,34210,0
734,47360,0
735,50340,0
736,30600,0
737,40540,0
738,45120,0
739,38730,0
740,24010,0
741,40360,0
742,50110,0
743,27750,0
744,47180,0
745,51320,0
746,21750,0
747,49180,0
748,42320,0
749,67610,0
750,29390,0
751,24340,0
752,26030,0
753,39920,0
754,47700,0
755,45210,0
756,21640,0
757,44620,0
758,51730,0
759,43440,0
760,44930,0
761,43460,0
762,50570,0
763,29780,0
764,34130,0
765,35740,0
766,36310,0
767,49170,0
768,34870,0
769,26520,0
770,38480,0
771,66560,0
772,30050,0
773,33070,0
774,24250,0
775,25780,0
776,75440,0
777,26580,0
778,45300,0
779,43430,0
780,36300,0
781,42070,0
782,23500,0
783,30200,0
784,28450,0
785,31910,0
786,57820,0
787,41170,0
788,26080,0
789,47150,0
790,35300,0
791,38380,0
792,36890,0
793,39890,0
794,33030,0
795,19430,0
796,32770,0
797,23400,0
798,35020,0
799,36140,0
800,58810,0
801,29800,0
802,50220,0
803,38020,0
804,48070,0
805,45540,0
806,37790,0
807,27190,0
808,50860,0
809,47620,0
810,52600,0
811,32680,0
812,28410,0
813,31270,0
814,30400,0
815,32800,0
816,48870,0
817,23840,0
818,38460,0
819,48740,0
820,32980,0
821,18680,0
822,39810,0
823,38620,0
824,27030,0
825,32060,0
826,39610,0
827,44460,0
828,48920,0
829,72410,0
830,37920,0
831,54040,0
832,25230,0
833,15520,0
834,30730,0
835,24460,0
836,25350,0
837,88640,0
838,49080,0
839,50200,0
840,41280,0
841,29720,0
842,36440,0
843,48650,0
844,30440,0
845,48830,0
846,36950,0
847,38500,0
848,42980,0
849,36370,0
850,30420,0
851,43660,0
852,33810,0
853,27600,0
854,71650,0
855,46460,0
856,46020,0
857,45780,0
858,45510,0
859,30210,0
860,41240,0
861,57810,0
862,39680,0
863,41290,0
864,31480,0
865,31080,0
866,67880,0
867,36300,0
868,53440,0
869,33690,0
870,50070,0
871,34310,0
872,43270,0
873,28250,0
874,45850,0
875,52450,0
876,35390,0
877,31930,0
878,33040,0
879,29510,0
880,61540,0
881,29540,0
882,20430,0
883,40950,0
884,40660,0
885,42570,0
886,20620,0
887,62750,0
888,34320,0
889,126770,0
890,39720,0
891,28530,0
892,45860,0
893,38930,0
894,19350,0
895,34600,0
896,38220,0
897,22120,0
898,18900,0
899,37880,0
900,23230,0
901,46740,0
902,45910,0
903,38820,0
904,30540,0
905,38440,0
906,43170,0
907,18230,0
908,47590,0
909,29300,0
910,37350,0
911,36540,0
912,40250,0
913,62090,0
914,21830,0
915,36790,0
916,57640,0
917,31510,0
918,52450,0
919,39330,0
920,41950,0
921,21500,0
922,46330,0
923,38410,0
924,47270,0
925,64020,0
926,30990,0
927,38760,0
928,47030,0
929,50130,0
930,52810,0
931,44060,0
932,45700,0
933,44970,0
934,34590,0
935,22430,0
936,66300,0
937,36060,0
938,24090,0
939,41550,0
940,20310,0
941,29190,0
942,37500,0
943,23970,0
944,41360,0
945,40180,0
946,63830,0
947,25620,0
948,20980,0
949,51780,0
950,29770,0
951,25560,0
952,55470,0
953,33010,0
954,26520,0
955,37490,0
956,34910,0
957,35380,0
958,19510,0
959,32760,0
960,57550,0
961,34060,0
962,24940,0
963,36020,0
964,29040,0
965,31430,0
966,24490,0
967,27970,0
968,31550,0
969,49520,0
970,52560,0
971,46230,0
972,33990,0
973,16740,0
974,37910,0
975,40680,0
976,31570,0
977,38500,0
978,62220,0
979,39340,0
980,30850,0
981,49240,0
982,34570,0
983,43730,0
984,43460,0
985,19310,0
986,25050,0
987,56530,0
988,39850,0
989,37520,0
990,28680,0
991,27920,0
992,38330,0
993,48170,0
994,62210,0
995,68080,0
996,64640,0
997,31860,0
998,46520,0
999,28560,0
1000,64960,0
