N,T1,T2
755,485860,230
756,400450,250
757,446040,340
758,348770,220
759,425460,310
760,442900,320
761,414640,240
762,477290,260
763,424290,400
764,577640,210
765,460510,180
766,339250,310
767,371010,310
768,221060,240
769,418330,310
770,383250,230
771,322210,240
772,395440,320
773,475380,180
774,556170,200
775,362690,270
776,425920,210
777,481480,290
778,339090,380
779,414770,1330
780,400900,180
781,452800,250
782,512500,240
783,509970,340
784,562380,240
785,417810,310
786,429360,240
787,447850,290
788,530320,290
789,326390,340
790,439560,250
791,358160,280
792,402280,390
793,465680,330
794,551710,460
795,494480,340
796,632550,460
797,517410,460
798,352860,390
799,520250,360
800,367020,360
801,422580,220
802,298840,270
803,415010,230
804,315840,270
805,416530,290
806,638440,430
807,448900,230
808,598270,280
809,390610,270
810,452260,250
811,619600,320
812,433300,360
813,412030,250
814,614290,430
815,653600,550
816,404670,340
817,616810,320
818,403570,260
819,417360,360
820,378270,220
821,516860,280
822,525040,240
823,481360,230
824,467040,360
825,449280,270
826,431380,280
827,565170,290
828,418560,280
829,586140,280
830,595610,260
831,428610,320
832,560550,510
833,540720,470
834,656570,280
835,465860,270
836,545070,290
837,546700,310
838,695510,460
839,466110,450
840,348960,490
841,466810,570
842,484310,440
843,361790,310
844,550700,540
845,467780,350
846,492450,310
847,429520,280
848,579660,510
849,361560,370
850,554060,430
851,347250,520
852,309920,350
853,492510,240
854,293950,290
855,434300,290
856,364620,310
857,543060,300
858,568690,260
859,470770,310
860,371870,380
861,373550,430
862,353750,330
863,536930,240
864,442660,340
865,324710,270
866,462990,250
867,520040,280
868,338360,160
869,428830,320
870,403460,270
871,746020,300
872,426770,280
873,522640,370
874,411770,200
875,449680,270
876,530840,270
877,527390,340
878,367260,410
879,437090,310
880,598100,190
881,550750,340
882,705660,420
883,395250,300
884,506960,520
885,431810,250
886,426080,300
887,572810,240
888,784000,440
889,511440,340
890,407840,320
891,568970,270
892,487130,270
893,624230,690
894,568870,320
895,485410,530
896,425830,470
897,533790,610
898,451020,340
899,612270,530
900,494780,490
901,510480,430
902,462390,490
903,430870,520
904,621690,280
905,555190,350
906,634360,300
907,451040,380
908,503540,410
909,486980,370
910,759270,260
911,430930,320
912,602930,240
913,586420,250
914,610990,300
915,335720,330
916,578020,450
917,562740,500
918,743940,600
919,343970,430
920,527290,270
921,720390,420
922,682440,400
923,579270,390
924,542500,400
925,352590,460
926,560390,420
927,566490,460
928,543500,340
929,705000,360
930,377820,760
931,554280,300
932,289800,620
933,528580,720
934,398720,440
935,442860,550
936,446190,660
937,521190,660
938,395920,770
939,653600,520
940,646170,560
941,631880,430
942,802610,490
943,595090,370
944,360060,770
945,570080,540
946,719930,780
947,628980,840
948,785250,780
949,773180,670
950,611680,460
951,492520,440
952,754930,580
953,538460,460
954,383150,450
955,591090,430
956,468750,440
957,650330,810
958,598530,570
959,673760,540
960,622430,540
961,498310,300
962,552670,230
963,494400,450
964,562380,310
965,359680,350
966,537110,400
967,607860,600
968,594290,510
969,562720,1090
970,447590,530
971,428070,720
972,431990,400
973,632380,1050
974,449420,330
975,571670,260
976,514050,450
977,518680,600
978,533020,420
979,675740,480
980,537600,460
981,769810,570
982,301640,530
983,783080,740
984,539370,640
985,767490,600
986,439530,520
987,662270,500
988,492250,350
989,652250,410
990,574830,280
991,378840,290
992,685570,340
993,474840,390
994,675700,340
995,416430,410
996,541440,590
997,584550,600
998,755390,600
999,512180,350
1000,588180,450
