N,T1,T2
645,412680,0
646,1122160,0
647,488490,0
648,1936110,0
649,762630,0
650,1133760,0
651,1793840,0
652,334290,0
653,479040,0
654,724030,0
655,383620,0
656,453170,0
657,1599850,0
658,725570,0
659,1766480,0
660,110880,0
661,474870,0
662,3057910,0
663,1865480,0
664,649410,0
665,654640,0
666,3196560,0
667,746830,0
668,1100810,0
669,43440,0
670,227260,0
671,617580,0
672,901910,0
673,144130,0
674,1228430,0
675,1253860,0
676,1566950,0
677,851860,0
678,1100830,0
679,560630,0
680,261000,0
681,1967500,0
682,547620,0
683,344830,0
684,695220,0
685,1813020,0
686,5450930,0
687,687160,0
688,693870,0
689,162630,0
690,441990,0
691,636870,0
692,664160,0
693,1442730,0
694,617310,0
695,1438190,0
696,406650,0
697,604900,0
698,775520,0
699,691990,0
700,241280,0
701,162210,0
702,1001040,0
703,583950,0
704,301600,0
705,332530,0
706,705640,0
707,2470250,0
708,1078560,0
709,562690,0
710,801750,0
711,1249100,0
712,891860,0
713,3030710,0
714,220410,0
715,1246580,0
716,605880,0
717,226840,0
718,776460,0
719,237460,0
720,688970,0
721,596070,0
722,869940,0
723,2479870,0
724,2419780,0
725,512680,0
726,726300,0
727,1878920,0
728,997460,0
729,604680,0
730,1449090,0
731,224950,0
732,1117710,0
733,845350,0
734,788100,0
735,445470,0
736,643240,0
737,252940,0
738,727140,0
739,1434060,0
740,1482270,0
741,829170,0
742,177940,0
743,1594080,0
744,673150,0
745,757450,0
746,125770,0
747,1308530,0
748,632190,0
749,847220,0
750,1044100,0
751,130410,0
752,2338490,0
753,1300090,0
754,1339070,0
755,727130,0
756,1404520,0
757,293250,0
758,1064420,0
759,2766420,0
760,2096920,0
761,461850,0
762,743400,0
763,132630,0
764,1088440,0
765,562640,0
766,753220,0
767,826960,0
768,2784400,0
769,963730,0
770,734780,0
771,146180,0
772,768680,0
773,357630,0
774,3569910,0
775,563800,0
776,3567880,0
777,391110,0
778,1256570,0
779,1710620,0
780,552730,0
781,863960,0
782,233860,0
783,994910,0
784,2574880,0
785,3176620,0
786,336160,0
787,140970,0
788,1011210,0
789,54610,0
790,1416730,0
791,1109680,0
792,406320,0
793,920130,0
794,1229710,0
795,945630,0
796,1517600,0
797,2037030,0
798,542380,0
799,1112360,0
800,971030,0
801,574140,0
802,1714950,0
803,884810,0
804,371780,0
805,456300,0
806,364110,0
807,472010,0
808,38000,0
809,253830,0
810,272180,0
811,902800,0
812,930080,0
813,588530,0
814,596650,0
815,168440,0
816,601130,0
817,867170,0
818,1058830,0
819,3061240,0
820,914110,0
821,264610,0
822,911080,0
823,252520,0
824,740350,0
825,930900,0
826,1573690,0
827,1457250,0
828,1633870,0
829,515110,0
830,813150,0
831,1254340,0
832,1915810,0
833,603430,0
834,1020150,0
835,487270,0
836,1731610,0
837,656890,0
838,1474770,0
839,509870,0
840,607360,0
841,405100,0
842,1674510,0
843,498380,0
844,4076500,0
845,3502920,0
846,1162000,0
847,396890,0
848,383730,0
849,3044750,0
850,894730,0
851,1187640,0
852,1815000,0
853,740980,0
854,489860,0
855,1971330,0
856,500370,0
857,387480,0
858,1887530,0
859,1871320,0
860,948680,0
861,1061160,0
862,2672310,0
863,1027550,0
864,498000,0
865,1002270,0
866,508610,0
867,385120,0
868,519400,0
869,753210,0
870,388710,0
871,262130,0
872,1191200,0
873,274370,0
874,150460,0
875,409800,0
876,648760,0
877,1450420,0
878,293810,0
879,4789420,0
880,2320300,0
881,1085720,0
882,620880,0
883,4484070,0
884,2301320,0
885,1351210,0
886,864120,0
887,1802670,0
888,6718770,0
889,1830310,0
890,1255120,0
891,911790,0
892,184590,0
893,921430,0
894,181980,0
895,671000,0
896,275190,0
897,901360,0
898,865110,0
899,1873090,0
900,263360,0
901,2442410,0
902,278090,0
903,1096430,0
904,1528570,0
905,753390,0
906,1888900,0
907,895510,0
908,178600,0
909,269060,0
910,762160,0
911,1281200,0
912,150550,0
913,293100,0
914,2221570,0
915,427790,0
916,638020,0
917,409740,0
918,1884550,0
919,394330,0
920,644900,0
921,2970490,0
922,300710,0
923,787250,0
924,1275670,0
925,652880,0
926,906790,0
927,1357750,0
928,913400,0
929,406680,0
930,648070,0
931,389530,0
932,6692260,0
933,2619840,0
934,1024710,0
935,1530400,0
936,591770,0
937,169130,0
938,877930,0
939,1246190,0
940,1134090,0
941,3298610,0
942,933740,0
943,777150,0
944,1008160,0
945,3275140,0
946,2736650,0
947,1473550,0
948,383750,0
949,397370,0
950,765200,0
951,1136240,0
952,710470,0
953,884480,0
954,396130,0
955,1106140,0
956,515020,0
957,751300,0
958,516430,0
959,820680,0
960,572210,0
961,663400,0
962,1673480,0
963,2258370,0
964,457540,0
965,41060,0
966,165840,0
967,426730,0
968,2264930,0
969,1762910,0
970,2225150,0
971,696490,0
972,2192330,0
973,951850,0
974,1256010,0
975,327880,0
976,1014890,0
977,2244780,0
978,820760,0
979,739360,0
980,57910,0
981,730210,0
982,3346930,0
983,432380,0
984,884820,0
985,847510,0
986,1165140,0
987,1401640,0
988,1403060,0
989,198470,0
990,1117710,0
991,1668200,0
992,165560,0
993,3720330,0
994,2078060,0
995,349160,0
996,451630,0
997,1089640,0
998,734100,0
999,1320060,0
1000,711300,0
